amdno,type,elems,lat,lon,alt,地名,knName,enName,気温
32407,C,11112010,39.70666666666666,140.28666666666666,41,岩見三内,イワミサンナイ,Iwami-Sannai,22.6
32451,C,11110100,39.615,140.21833333333333,93,雄和,ユウワ：秋田空港,Yuwa,23.2
32466,C,11112100,39.60333333333333,140.55666666666667,56,角館,カクノダテ,Kakunodate,22.6
32476,C,11112000,39.69833333333333,140.73166666666663,230,田沢湖,タザワコ,Lake Tazawa,21.5
32496,C,11112100,39.52666666666666,140.23333333333332,20,大正寺,ダイショウジ,Daisho-ji,22.9
32551,C,11112000,39.49,140.495,30,大曲,オオマガリ,Omagari,22.9
32571,C,11112100,39.36,140.055,11,本荘,ホンジョウ,Honjo,22.6
32581,C,11112000,39.305,140.28833333333333,117,東由利,ヒガシユリ,Higashiyuri,21.3
32596,C,11112100,39.32,140.555,59,横手,ヨコテ,Yokote,22.9
32616,C,11112010,39.255,139.91333333333333,7,にかほ,ニカホ,Nikaho,24.6
32626,C,11112100,39.235,140.13666666666666,46,矢島,ヤシマ,Yashima,21.2
32691,C,11112100,39.18666666666667,140.46333333333334,74,湯沢,ユザワ,Yuzawa,21.4
32771,C,11112100,38.96,140.52833333333334,335,湯の岱,ユノタイ,Yunotai,19.7
33006,C,11112000,40.403333333333336,141.7,70,種市,タネイチ,Taneichi,24.2
33026,C,11112000,40.325,141.46666666666667,148,軽米,カルマイ,Karumai,20.9
33071,C,11112100,40.29833333333333,141.29833333333335,87,二戸,ニノヘ,Ninohe,22.1
33136,C,11112000,40.14833333333333,141.57166666666666,290,山形,ヤマガタ,Yamagata,20.4
33146,C,11112110,40.16833333333334,141.7483333333333,13,久慈,クジ,Kuji,22.4
33166,C,11112010,40.10333333333333,141.05,290,荒屋,アラヤ,Araya,20.3
33176,C,11112100,40.06,141.225,430,奥中山,オクナカヤマ,Mt.Okunaka,19.0
33186,C,11112100,40.04,141.45666666666668,418,葛巻,クズマキ,Kuzumaki,17.9
33206,C,11112000,40.00333333333333,141.88333333333333,8,普代,フダイ,Fudai,21.6
33226,C,11112100,39.95166666666667,141.065,275,岩手松尾,イワテマツオ,Iwate-Matsuo,19.4
33296,C,11112000,39.86833333333333,141.16666666666666,205,好摩,コウマ,Koma,21.0
33326,C,11112110,39.84666666666666,141.795,105,岩泉,イワイズミ,Iwaizumi,21.1
33336,C,11112000,39.84666666666666,141.96333333333334,3,小本,オモト,Omoto,24.1
33371,C,11112000,39.78333333333333,141.32833333333335,680,薮川,ヤブカワ,Yabukawa,16.2
33421,C,11112100,39.696666666666665,140.975,195,雫石,シズクイシ,Shizukuishi,20.0
33431,A,11111111,39.69833333333333,141.165,155,盛岡,モリオカ,Morioka,22.4
33441,C,11112100,39.65,141.35333333333332,734,区界,クザカイ,Kuzakai,17.3
33472,B,11111111,39.64666666666667,141.965,43,宮古,ミヤコ,Miyako,22.8
33486,C,11112000,39.54833333333333,140.84333333333333,407,沢内,サワウチ,Sawauchi,18.9
33501,C,11112000,39.54666666666667,141.1266666666667,125,紫波,シワ,Shiwa,20.8
33526,C,11112000,39.598333333333336,141.68166666666667,192,川井,カワイ,Kawai,20.5
33576,C,11110000,39.428333333333335,141.135,90,花巻,ハナマキ：花巻空港,Hanamaki,20.9
33581,C,11112000,39.47,141.27833333333334,150,大迫,オオハサマ,Ohasama,20.8
33616,C,11112000,39.45,141.95666666666668,24,山田,ヤマダ,Yamada,22.5
33631,C,11112110,39.31,140.77666666666667,250,湯田,ユダ,Yuda,20.2
33671,C,11112110,39.33833333333333,141.54333333333332,275,遠野,トオノ,Tono,19.4
33716,C,11112100,39.28833333333333,141.11,61,北上,キタカミ,Kitakami,23.1
33751,C,11112000,39.27,141.87833333333333,5,釜石,カマイシ,Kamaishi,24.4
33776,C,11112000,39.14,141.06333333333333,97,若柳,ワカヤナギ,Wakayanagi,21.3
33781,C,11112000,39.18333333333333,141.16166666666666,42,江刺,エサシ,Esashi,22.4
33801,C,11112000,39.141666666666666,141.57333333333332,80,住田,スミタ,Sumita,21.8
33877,B,11111111,39.06333333333333,141.71333333333334,37,大船渡,オオフナト,Ofunato,23.7
33911,C,11112110,38.93333333333333,141.125,32,一関,イチノセキ,Ichinoseki,22.7
33921,C,11112000,38.92166666666667,141.33,120,千厩,センマヤ,Senmaya,21.1
34012,C,11112100,38.91333333333333,140.82833333333335,525,駒ノ湯,コマノユ,Komanoyu,19.4
34026,C,11112000,38.906666666666666,141.55666666666667,62,気仙沼,ケセンヌマ,Kesennuma,23.3
34096,C,11112100,38.74333333333333,140.76,170,川渡,カワタビ,Kawatabi,21.1
34111,C,11112010,38.735,141.005,25,築館,ツキダテ,Tsukidate,20.9
34171,C,11112000,38.626666666666665,141.18833333333333,5,米山,ヨネヤマ,Yoneyama,23.3
34186,C,11112000,38.681666666666665,141.44833333333332,39,志津川,シヅガワ,Shizugawa,23.3
34216,C,11112110,38.598333333333336,140.91166666666666,28,古川,フルカワ,Furukawa,22.9
34266,C,11112000,38.473333333333336,140.88833333333332,57,大衡,オオヒラ,Ohira,22.3
34276,C,11112000,38.46,141.09166666666667,3,鹿島台,カシマダイ,Kashimadai,23.2
34292,B,11111111,38.42666666666667,141.29833333333335,43,石巻,イシノマキ,Ishinomaki,23.7
34296,C,11112000,38.446666666666665,141.45,38,女川,オナガワ,Onagawa,25.0
34311,C,11112110,38.303333333333335,140.63666666666666,265,新川,ニッカワ,Nikkawa,22.3
34331,C,11112000,38.33833333333333,141.01333333333332,105,塩釜,シオガマ,Shiogama,25.3
34392,A,11111111,38.26166666666666,140.89666666666668,39,仙台,センダイ,Sendai,25.5
34436,C,11110100,38.138333333333335,140.91666666666666,2,名取,ナトリ：仙台空港,Natori,24.8
34461,C,11112110,38.015,140.61166666666668,86,白石,シロイシ,Shiroishi,22.4
34462,C,11112010,38.126666666666665,140.68,112,蔵王,ザオウ,Zao,21.5
34471,C,11112000,38.025,140.85833333333332,4,亘理,ワタリ,Watari,24.1
34506,C,11112000,37.931666666666665,140.77833333333334,18,丸森,マルモリ,Marumori,22.2
35002,C,11112010,39.18333333333333,139.54333333333332,58,飛島,トビシマ,Tobishima Island,25.5
35052,B,11111111,38.90833333333333,139.84333333333333,3,酒田,サカタ,Sakata,24.0
35071,C,11112000,38.91833333333334,140.2,88,差首鍋,サスナベ,Sasunabe,21.1
35086,C,11110000,38.81166666666667,139.78666666666666,22,浜中,ハマナカ：庄内空港,Hamanaka,22.2
35116,C,11112100,38.87833333333333,140.33166666666668,170,金山,カネヤマ,Kaneyama,21.0
35141,C,11112010,38.735,139.82833333333335,16,鶴岡,ツルオカ,Tsuruoka,23.6
35146,C,11112100,38.8,139.97333333333333,17,狩川,カリカワ,Karikawa,22.5
35162,B,11111111,38.75666666666667,140.31166666666667,105,新庄,シンジョウ,Shinjo,22.1
35176,C,11112100,38.75833333333333,140.51666666666668,212,向町,ムカイマチ,Mukaimachi,20.5
35216,C,11112100,38.60666666666667,140.16333333333333,330,肘折,ヒジオリ,Hijiori,18.4
35231,C,11112110,38.60833333333333,140.41166666666666,106,尾花沢,オバナザワ,Obanazawa,22.4
35246,C,11112010,38.56666666666667,139.55166666666668,18,鼠ケ関,ネズガセキ,Nezugaseki,24.9
35332,C,11112010,38.46,140.34833333333333,80,村山,ムラヤマ,Murayama,22.0
35334,C,11110000,38.41166666666667,140.37,105,東根,ヒガシネ：山形空港,Higashine,22.3
35361,C,11112100,38.39,139.99333333333334,440,大井沢,オオイサワ,Oisawa,16.9
35376,C,11112100,38.37,140.19166666666666,133,左沢,アテラザワ,Aterazawa,21.2
35426,A,11111111,38.255,140.345,153,山形,ヤマガタ,Yamagata,23.2
35456,C,11112100,38.105,140.015,210,長井,ナガイ,Nagai,21.2
35486,C,11112100,38.07833333333333,139.735,140,小国,オグニ,Oguni,20.6
35511,C,11112000,38.00333333333333,140.20666666666668,220,高畠,タカハタ,Takahata,21.5
35541,C,11112000,37.99,139.95333333333335,260,高峰,タカミネ,Takamine,20.4
35552,C,11112110,37.91166666666667,140.14333333333337,245,米沢,ヨネザワ,Yonezawa,22.1
36056,C,11112100,37.891666666666666,140.43666666666667,200,茂庭,モニワ,Moniwa,20.4
36066,C,11112000,37.85166666666667,140.58833333333334,43,梁川,ヤナガワ,Yanagawa,23.3
36106,C,11112000,37.72166666666666,140.05833333333334,824,桧原,ヒバラ,Hibara,17.0
